country	date	public	name
CN	2007-02-19	True	Second Day of the Chinese Lunar New Year Golden Week
CN	2007-02-20	False	Third Day of the Chinese Lunar New Year Golden Week
CN	2007-02-21	False	Fourth Day of the Chinese Lunar New Year Golden Week
CN	2007-02-22	False	Fifth Day of the Chinese Lunar New Year Golden Week
CN	2007-02-23	False	Sixth Day of the Chinese Lunar New Year Golden Week
CN	2007-03-03	False	UN World Wildlife Day
CN	2007-03-04	False	Latern Festival
CN	2007-03-08	False	International Women's Day
CN	2007-03-12	False	Arbor Day
CN	2007-03-19	False	Zhonghe Festival
CN	2007-03-20	False	Longtaitou Festival
CN	2007-03-21	False	March Equinox
CN	2007-05-01	True	Labor Day
CN	2007-05-02	True	Second Day of the Labor Day Golden Week
CN	2007-05-03	True	Third Day of the Labor Day Golden Week
CN	2007-05-04	True	Fourth Day of the Labor Day Golden Week
CN	2007-05-04	False	Youth Day
CN	2007-05-05	False	Boys' Day
CN	2007-05-05	True	Fifth Day of the Labor Day Golden Week
CN	2007-05-06	True	Sixth Day of the Labor Day Golden Week
CN	2007-05-07	True	Seventh Day of the Labor Day Golden Week
CN	2007-05-13	False	Mother's Day
CN	2007-06-01	False	Children's Day
CN	2007-06-19	False	Dragon Boat Festival
CN	2007-06-21	False	June Solstice
CN	2007-07-01	False	CPC Founding Day
CN	2007-07-11	False	China National Maritime Day
CN	2007-08-01	False	Army Day
CN	2007-08-01	False	People's Liberation Army Day
CN	2007-08-08	False	Father's Day
CN	2007-08-19	False	Double Seven Festival
CN	2007-08-27	False	Spirit Festival
CN	2007-09-23	False	September Equinox
CN	2007-10-01	True	National Day
CN	2007-10-02	True	Second Day of the National Day Golden Week
CN	2007-10-03	True	Third Day of the National Day Golden Week
CN	2007-10-04	False	Fourth Day of the National Day Golden Week
CN	2007-10-05	False	Fifth Day of the National Day Golden Week
CN	2007-10-06	False	Sixth Day of the National Day Golden Week
CN	2007-10-07	False	Seventh Day of the National Day Golden Week
CN	2007-10-19	False	Double Ninth Festival
CN	2007-12-22	False	December Solstice
CN	2007-12-31	False	New Year's Eve
CN	2008-01-01	True	New Year's Day
CN	2008-02-06	True	Chinese Lunar New Year's Eve
CN	2008-02-07	True	Chinese Lunar New Year's Day
CN	2008-02-08	True	Second Day of the Chinese Lunar New Year Golden Week
CN	2008-02-09	False	Third Day of the Chinese Lunar New Year Golden Week
CN	2008-02-10	False	Fourth Day of the Chinese Lunar New Year Golden Week
CN	2008-02-11	False	Fifth Day of the Chinese Lunar New Year Golden Week
CN	2008-02-12	False	Sixth Day of the Chinese Lunar New Year Golden Week
CN	2008-02-21	False	Latern Festival
CN	2008-03-03	False	UN World Wildlife Day
CN	2008-03-08	False	International Women's Day
CN	2008-03-08	False	Zhonghe Festival
CN	2008-03-09	False	Longtaitou Festival
CN	2008-03-12	False	Arbor Day
CN	2008-03-20	False	March Equinox
CN	2008-05-01	True	Labor Day
CN	2008-05-04	False	Youth Day
CN	2008-05-05	False	Boys' Day
CN	2008-05-11	False	Mother's Day
CN	2008-06-01	False	Children's Day
CN	2008-06-08	True	Dragon Boat Festival
CN	2008-06-21	False	June Solstice
CN	2008-07-01	False	CPC Founding Day
CN	2008-07-11	False	China National Maritime Day
CN	2008-08-01	False	Army Day
CN	2008-08-01	False	People's Liberation Army Day
CN	2008-08-07	False	Double Seven Festival
CN	2008-08-08	False	Father's Day
CN	2008-08-15	False	Spirit Festival
CN	2008-09-22	False	September Equinox
CN	2008-10-01	True	National Day
CN	2008-10-02	True	Second Day of the National Day Golden Week
CN	2008-10-03	True	Third Day of the National Day Golden Week
CN	2008-10-04	False	Fourth Day of the National Day Golden Week
CN	2008-10-05	False	Fifth Day of the National Day Golden Week
CN	2008-10-06	False	Sixth Day of the National Day Golden Week
CN	2008-10-07	False	Double Ninth Festival
CN	2008-10-07	False	Seventh Day of the National Day Golden Week
CN	2008-12-21	False	December Solstice
CN	2008-12-31	False	New Year's Eve
CN	2009-01-01	True	New Year's Day
CN	2009-01-25	True	Chinese Lunar New Year's Eve
CN	2009-01-26	True	Chinese Lunar New Year's Day
CN	2009-01-27	True	Second Day of the Chinese Lunar New Year Golden Week
CN	2009-01-28	False	Third Day of the Chinese Lunar New Year Golden Week
CN	2009-01-29	False	Fourth Day of the Chinese Lunar New Year Golden Week
CN	2009-01-30	False	Fifth Day of the Chinese Lunar New Year Golden Week
CN	2009-01-31	False	Sixth Day of the Chinese Lunar New Year Golden Week
CN	2009-02-09	False	Latern Festival
CN	2009-02-25	False	Zhonghe Festival
CN	2009-02-26	False	Longtaitou Festival
CN	2009-03-03	False	UN World Wildlife Day
CN	2009-03-08	False	International Women's Day
CN	2009-03-12	False	Arbor Day
CN	2009-03-20	False	March Equinox
CN	2009-05-01	True	Labor Day
CN	2009-05-04	False	Youth Day
CN	2009-05-05	False	Boys' Day
CN	2009-05-10	False	Mother's Day
CN	2009-05-28	True	Dragon Boat Festival
CN	2009-06-01	False	Children's Day
CN	2009-06-21	False	June Solstice
CN	2009-07-01	False	CPC Founding Day
CN	2009-07-11	False	China National Maritime Day
CN	2009-08-01	False	Army Day
CN	2009-08-01	False	People's Liberation Army Day
CN	2009-08-08	False	Father's Day
CN	2009-08-26	False	Double Seven Festival
CN	2009-09-03	False	Spirit Festival
CN	2009-09-22	False	September Equinox
CN	2009-10-01	True	National Day
CN	2009-10-02	True	Second Day of the National Day Golden Week
CN	2009-10-03	True	Third Day of the National Day Golden Week
CN	2009-10-04	False	Fourth Day of the National Day Golden Week
CN	2009-10-05	False	Fifth Day of the National Day Golden Week
CN	2009-10-06	False	Sixth Day of the National Day Golden Week
CN	2009-10-07	False	Seventh Day of the National Day Golden Week
CN	2009-10-26	False	Double Ninth Festival
CN	2009-12-21	False	December Solstice
CN	2009-12-31	False	New Year's Eve
CN	2010-01-01	True	New Year's Day
CN	2010-02-13	True	Chinese Lunar New Year's Eve
CN	2010-02-14	True	Chinese Lunar New Year's Day
CN	2010-02-15	True	Second Day of the Chinese Lunar New Year Golden Week
CN	2010-02-16	False	Third Day of the Chinese Lunar New Year Golden Week
CN	2010-02-17	False	Fourth Day of the Chinese Lunar New Year Golden Week
CN	2010-02-18	False	Fifth Day of the Chinese Lunar New Year Golden Week
CN	2010-02-19	False	Sixth Day of the Chinese Lunar New Year Golden Week
CN	2010-02-28	False	Latern Festival
CN	2010-03-03	False	UN World Wildlife Day
CN	2010-03-08	False	International Women's Day
CN	2010-03-12	False	Arbor Day
CN	2010-03-16	False	Zhonghe Festival
CN	2010-03-17	False	Longtaitou Festival
CN	2010-03-20	False	March Equinox
CN	2010-04-05	True	Ching Ming Festival
CN	2010-05-01	True	Labor Day
CN	2010-05-04	False	Youth Day
CN	2010-05-05	False	Boys' Day
CN	2010-05-09	False	Mother's Day
CN	2010-06-01	False	Children's Day
CN	2010-06-16	True	Dragon Boat Festival
CN	2010-06-21	False	June Solstice
CN	2010-07-01	False	CPC Founding Day
CN	2010-07-11	False	China National Maritime Day
CN	2010-08-01	False	Army Day
CN	2010-08-01	False	People's Liberation Army Day
CN	2010-08-08	False	Father's Day
CN	2010-08-16	False	Double Seven Festival
CN	2010-08-24	False	Spirit Festival
CN	2010-09-22	True	Mid-Autumn Festival
CN	2010-09-23	False	September Equinox
CN	2010-10-01	True	National Day
CN	2010-10-02	True	Second Day of the National Day Golden Week
CN	2010-10-03	True	Third Day of the National Day Golden Week
CN	2010-10-04	False	Fourth Day of the National Day Golden Week
CN	2010-10-05	False	Fifth Day of the National Day Golden Week
CN	2010-10-06	False	Sixth Day of the National Day Golden Week
CN	2010-10-07	False	Seventh Day of the National Day Golden Week
CN	2010-10-16	False	Double Ninth Festival
CN	2010-12-21	False	December Solstice
CN	2010-12-31	False	New Year's Eve
CN	2011-01-01	True	New Year's Day
CN	2011-02-02	True	Chinese Lunar New Year's Eve
CN	2011-02-03	True	Chinese Lunar New Year's Day
CN	2011-02-04	True	Second Day of the Chinese Lunar New Year Golden Week
CN	2011-02-05	False	Third Day of the Chinese Lunar New Year Golden Week
CN	2011-02-06	False	Fourth Day of the Chinese Lunar New Year Golden Week
CN	2011-02-07	False	Fifth Day of the Chinese Lunar New Year Golden Week
CN	2011-02-08	False	Sixth Day of the Chinese Lunar New Year Golden Week
CN	2011-02-17	False	Latern Festival
CN	2011-03-03	False	UN World Wildlife Day
CN	2011-03-05	False	Zhonghe Festival
CN	2011-03-06	False	Longtaitou Festival
CN	2011-03-08	False	International Women's Day
CN	2011-03-12	False	Arbor Day
CN	2011-03-20	False	March Equinox
CN	2011-04-05	True	Ching Ming Festival
CN	2011-05-01	True	Labor Day
CN	2011-05-04	False	Youth Day
CN	2011-05-05	False	Boys' Day
CN	2011-05-08	False	Mother's Day
CN	2011-06-01	False	Children's Day
CN	2011-06-06	True	Dragon Boat Festival
CN	2011-06-21	False	June Solstice
CN	2011-07-01	False	CPC Founding Day
CN	2011-07-11	False	China National Maritime Day
CN	2011-08-01	False	Army Day
CN	2011-08-01	False	People's Liberation Army Day
CN	2011-08-06	False	Double Seven Festival
CN	2011-08-08	False	Father's Day
CN	2011-08-14	False	Spirit Festival
CN	2011-09-12	True	Mid-Autumn Festival
CN	2011-09-23	False	September Equinox
CN	2011-10-01	True	National Day
CN	2011-10-02	True	Second Day of the National Day Golden Week
CN	2011-10-03	True	Third Day of the National Day Golden Week
CN	2011-10-04	False	Fourth Day of the National Day Golden Week
CN	2011-10-05	False	Double Ninth Festival
CN	2011-10-05	False	Fifth Day of the National Day Golden Week
CN	2011-10-06	False	Sixth Day of the National Day Golden Week
CN	2011-10-07	False	Seventh Day of the National Day Golden Week
CN	2011-12-22	False	December Solstice
CN	2011-12-31	False	New Year's Eve
CN	2012-01-01	True	New Year's Day
CN	2012-01-22	True	Chinese Lunar New Year's Eve
CN	2012-01-23	True	Chinese Lunar New Year's Day
CN	2012-01-24	True	Second Day of the Chinese Lunar New Year Golden Week
CN	2012-01-25	False	Third Day of the Chinese Lunar New Year Golden Week
CN	2012-01-26	False	Fourth Day of the Chinese Lunar New Year Golden Week
CN	2012-01-27	False	Fifth Day of the Chinese Lunar New Year Golden Week
CN	2012-01-28	False	Sixth Day of the Chinese Lunar New Year Golden Week
CN	2012-02-06	False	Latern Festival
CN	2012-02-22	False	Zhonghe Festival
CN	2012-02-23	False	Longtaitou Festival
CN	2012-03-03	False	UN World Wildlife Day
CN	2012-03-08	False	International Women's Day
CN	2012-03-12	False	Arbor Day
CN	2012-03-20	False	March Equinox
CN	2012-04-04	True	Ching Ming Festival
CN	2012-05-01	True	Labor Day
CN	2012-05-04	False	Youth Day
CN	2012-05-05	False	Boys' Day
CN	2012-05-13	False	Mother's Day
CN	2012-06-01	False	Children's Day
CN	2012-06-20	False	June Solstice
CN	2012-06-23	True	Dragon Boat Festival
CN	2012-07-01	False	CPC Founding Day
CN	2012-07-11	False	China National Maritime Day
CN	2012-08-01	False	Army Day
CN	2012-08-01	False	People's Liberation Army Day
CN	2012-08-08	False	Father's Day
CN	2012-08-23	False	Double Seven Festival
CN	2012-08-31	False	Spirit Festival
CN	2012-09-22	False	September Equinox
CN	2012-09-30	True	Mid-Autumn Festival
CN	2012-10-01	True	National Day
CN	2012-10-02	True	Second Day of the National Day Golden Week
CN	2012-10-03	True	Third Day of the National Day Golden Week
CN	2012-10-04	False	Fourth Day of the National Day Golden Week
CN	2012-10-05	False	Fifth Day of the National Day Golden Week
CN	2012-10-06	False	Sixth Day of the National Day Golden Week
CN	2012-10-07	False	Seventh Day of the National Day Golden Week
CN	2012-10-23	False	Double Ninth Festival
CN	2012-12-21	False	December Solstice
CN	2012-12-31	False	New Year's Eve
CN	2013-01-01	True	New Year's Day
CN	2013-02-09	True	Chinese Lunar New Year's Eve
CN	2013-02-10	True	Chinese Lunar New Year's Day
CN	2013-02-11	True	Second Day of the Chinese Lunar New Year Golden Week
CN	2013-02-12	False	Third Day of the Chinese Lunar New Year Golden Week
CN	2013-02-13	False	Fourth Day of the Chinese Lunar New Year Golden Week
CN	2013-02-14	False	Fifth Day of the Chinese Lunar New Year Golden Week
CN	2013-02-15	False	Sixth Day of the Chinese Lunar New Year Golden Week
CN	2013-02-24	False	Latern Festival
CN	2013-03-03	False	UN World Wildlife Day
CN	2013-03-08	False	International Women's Day
CN	2013-03-12	False	Arbor Day
CN	2013-03-12	False	Zhonghe Festival
CN	2013-03-13	False	Longtaitou Festival
CN	2013-03-20	False	March Equinox
CN	2013-04-04	True	Ching Ming Festival
CN	2013-05-01	True	Labor Day
CN	2013-05-04	False	Youth Day
CN	2013-05-05	False	Boys' Day
CN	2013-05-12	False	Mother's Day
CN	2013-06-01	False	Children's Day
CN	2013-06-12	True	Dragon Boat Festival
CN	2013-06-21	False	June Solstice
CN	2013-07-01	False	CPC Founding Day
CN	2013-07-11	False	China National Maritime Day
CN	2013-08-01	False	Army Day
CN	2013-08-01	False	People's Liberation Army Day
CN	2013-08-08	False	Father's Day
CN	2013-08-13	False	Double Seven Festival
